Metric,Value
Instance,dc188
Dimension,188
Unique found-optimal tours,0
Unique found-optimal edges,0
Raw MSA support found-optimal edge coverage [%],0.00
Threshold MSA support threshold,0.800000
Threshold MSA support edges,185
Threshold MSA support precision [%],0.00
Threshold MSA support recall [%],0.00
Threshold MSA support lift,0.000000
Top MSA support edges,187
Top MSA support precision [%],0.00
Top MSA support recall [%],0.00
Top MSA support lift,0.000000
Top MSA support avg tour coverage [%],0.00
Top MSA support best tour coverage [%],0.00
