Tour,Commonality with MSA heuristic,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,4,17,15,16,20,18,19,14,12,13,33,34,31,32,10,8,9,11,6,5,7,29,30,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",62.79,34.88,40.83,44.19
"[0,4,17,15,16,20,18,19,14,12,13,33,34,31,32,10,8,11,9,6,5,7,29,30,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",62.79,34.88,40.83,44.19
"[0,4,17,15,16,19,18,20,13,12,14,33,34,31,32,10,8,9,11,6,5,7,29,30,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",62.79,34.88,40.83,44.19
"[0,4,16,15,17,20,18,19,13,12,14,33,34,31,32,11,9,8,10,6,5,7,29,30,27,28,2,1,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",62.79,34.88,40.83,44.19
"[0,4,16,15,17,19,18,20,14,12,13,33,34,31,32,9,8,10,11,6,5,7,29,30,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",62.79,34.88,40.83,44.19
"[0,4,16,15,17,19,18,20,14,12,13,33,34,31,32,11,9,8,10,6,5,7,29,30,27,28,2,1,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",62.79,34.88,40.83,44.19
"[0,4,16,15,17,19,18,20,14,12,13,33,34,31,32,11,8,9,10,6,5,7,29,30,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",62.79,34.88,40.83,44.19
"[0,4,16,15,17,19,18,20,13,12,14,33,34,31,32,11,9,8,10,7,5,6,29,30,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",62.79,34.88,40.83,44.19
"[0,4,16,15,17,19,18,20,13,12,14,33,34,31,32,11,9,8,10,6,5,7,29,30,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",62.79,34.88,40.83,44.19
"[0,4,17,15,16,20,18,19,13,12,14,33,34,31,32,11,8,10,9,7,6,5,29,30,27,28,2,1,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",62.79,34.88,40.78,44.19
"[0,4,16,15,17,20,18,19,14,12,13,33,34,31,32,9,10,8,11,7,6,5,29,30,27,28,2,1,3,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",62.79,34.88,40.78,44.19
"[0,4,16,15,17,20,18,19,13,12,14,33,34,31,32,9,8,10,11,7,6,5,29,30,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",62.79,34.88,40.78,44.19
"[0,4,16,15,17,19,18,20,13,12,14,33,34,31,32,11,8,9,10,7,6,5,29,30,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",62.79,34.88,40.78,44.19
"[0,4,16,15,17,19,18,20,13,12,14,33,34,31,32,11,8,10,9,7,6,5,29,30,27,28,2,1,3,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",62.79,34.88,40.78,44.19
"[0,4,17,15,16,20,18,19,14,12,13,33,34,31,32,11,8,9,10,7,6,5,29,30,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",62.79,34.88,40.78,44.19
"[0,4,17,15,16,19,18,20,14,12,13,33,34,31,32,11,8,9,10,7,6,5,29,30,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",62.79,34.88,40.78,44.19
"[0,4,17,15,16,19,18,20,13,12,14,33,34,31,32,9,8,11,10,7,6,5,29,30,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",62.79,34.88,40.78,44.19
"[0,4,17,15,16,19,18,20,13,12,14,33,34,31,32,11,8,9,10,7,6,5,29,30,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",62.79,34.88,40.78,44.19
"[0,4,16,15,17,20,18,19,13,14,12,33,34,31,32,11,8,9,10,6,5,7,29,30,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",62.79,34.88,40.78,44.19
"[0,4,16,15,17,20,18,19,13,12,14,33,34,31,32,9,8,10,11,7,6,5,29,30,27,28,3,1,2,36,37,38,39,41,40,42,26,24,25,21,22,23,35]",62.79,34.88,40.78,44.19
"[0,4,16,15,17,19,18,20,14,12,13,33,34,31,32,11,10,8,9,7,6,5,29,30,27,28,3,1,2,36,37,38,39,42,40,41,26,24,25,21,22,23,35]",62.79,34.88,40.78,44.19
